,Unnamed: 0,Unnamed: 0.1,city,country,housenumber,postcode,street,region,osm_ID,has_latitude,has_longitude,has_province,has_administrativeArea
207,207,207,,it,,,,Trentino-Alto Adige,265659089,46.06376266479492,11.128729820251465,TN,22205
208,208,208,,it,,,,Trentino-Alto Adige,266156643,46.07389068603516,11.150733947753906,TN,22205
209,209,209,,it,,,,Trentino-Alto Adige,266179021,46.04878234863281,11.145864486694336,TN,22205
210,210,210,Trento,it,18,38122.0,Piazza del Duomo,Trentino-Alto Adige,267234391,46.06748580932617,11.12187957763672,TN,22205
211,211,211,Trento,it,40,38122.0,Piazza del Duomo,Trentino-Alto Adige,268401562,46.06772613525391,11.121012687683104,TN,22205
212,212,212,Trento,it,1,38122.0,Piazza Mario Pasi,Trentino-Alto Adige,268401567,46.067752838134766,11.12206745147705,TN,22205
213,213,213,Trento,it,8,38122.0,Via Roggia Grande,Trentino-Alto Adige,268430904,46.0674057006836,11.12438678741455,TN,22205
214,214,214,,it,,,,Trentino-Alto Adige,268430906,46.0672721862793,11.12564182281494,TN,22205
215,215,215,Trento,it,29,38122.0,Via Calepina,Trentino-Alto Adige,268430908,46.06711196899414,11.124260902404783,TN,22205
216,216,216,Trento,it,10,38122.0,Via Santissima Trinitá,Trentino-Alto Adige,268432521,46.06626510620117,11.122992515563965,TN,22205
217,217,217,Trento,it,2,38122.0,Via Roccabruna,Trentino-Alto Adige,268432522,46.0665283203125,11.123342514038086,TN,22205
218,218,218,Trento,it,15,38122.0,Piazza Giovanni Battista Garzetti,Trentino-Alto Adige,268435080,46.06597518920898,11.12388038635254,TN,22205
219,219,219,Trento,it,20,38122.0,Prima Androna di Borgo Nuovo,Trentino-Alto Adige,268435081,46.06583023071289,11.123634338378906,TN,22205
220,220,220,Trento,it,5,38122.0,Piazza Giovanni Battista Garzetti,Trentino-Alto Adige,268436704,46.06562423706055,11.12449550628662,TN,22205
221,221,221,Trento,it,11,38122.0,Largo Porta Nuova,Trentino-Alto Adige,268440165,46.06755828857422,11.126537322998049,TN,22205
222,222,222,Trento,it,2/2,38122.0,Via Francesco Ferruccio,Trentino-Alto Adige,268440175,46.06881332397461,11.126178741455078,TN,22205
223,223,223,,it,,,,Trentino-Alto Adige,268810377,46.05666732788086,11.119877815246582,TN,22205
224,224,224,,it,,,,Trentino-Alto Adige,268924940,46.04372024536133,11.039022445678713,TN,22205
225,225,225,,it,,,,Trentino-Alto Adige,269014255,46.121952056884766,11.105649948120115,TN,22205
226,226,226,,it,,,,Trentino-Alto Adige,269184847,46.0694580078125,11.123644828796388,TN,22205
227,227,227,,it,,,,Trentino-Alto Adige,269184853,46.0698356628418,11.12405490875244,TN,22205
228,228,228,,it,,,,Trentino-Alto Adige,269184890,46.07341003417969,11.126572608947754,TN,22205
229,229,229,Trento,it,103,38122.0,Via della Malvasia,Trentino-Alto Adige,269193687,46.07523727416992,11.125131607055664,TN,22205
